,Outlet,District_No,District_Name,Outlet_Cat
0,17,5,"Buona Vista, Dover, Pasir Panjang, West Coast",Heartland
1,11,27,"Admiralty, Sembawang, Yishun",Heartland
2,14,16,"Bayshore, Bedok, Chai Chee",Heartland
3,7,10,"Balmoral, Bukit Timah, Grange Road, Holland, Orchard Boulevard, River Valley, Tanglin",Heartland
4,18,23,"Bukit Batok, Choa Chu Kang, Hillview Avenue, Upper Bukit Timah",Heartland
5,1,20,"Ang Mo Kio, Bishan, Braddell Road, Thomson",Heartland
6,9,19,"Hougang, Punggol, Sengkang",Heartland
7,20,19,"Hougang, Punggol, Sengkang",Heartland
8,15,19,"Hougang, Punggol, Sengkang",Heartland
9,12,5,"Buona Vista, Dover, Pasir Panjang, West Coast",Heartland
10,21,18,"Pasir Ris, Simei, Tampines",Heartland
11,5,18,"Pasir Ris, Simei, Tampines",Heartland
12,2,3,"Alexandra Road, Tiong Bahru, Queenstown",Heartland
13,13,9,"Cairnhill, Killiney, Leonie Hill, Orchard, Oxley",Heartland
14,6,22,"Boon Lay, Jurong, Tuas",Heartland
15,3,9,"Cairnhill, Killiney, Leonie Hill, Orchard, Oxley",Heartland
16,8,22,"Boon Lay, Jurong, Tuas",Heartland
17,22,4,"Keppel, Mount Faber, Sentosa, Telok Blangah",Heartland
18,19,5,"Buona Vista, Dover, Pasir Panjang, West Coast",Heartland
19,16,3,"Alexandra Road, Tiong Bahru, Queenstown",Heartland
20,23,19,"Hougang, Punggol, Sengkang",Heartland
