3,667,Dessert,Dessert;Cold,AlmondCream Glutinous Ball
16,1515,Main,Baked Rice;Beef,BAKED RICE CURRY SLICED BEEF
16,1515,Main,BakedRice;Seafood,BAKED RICE EBI
217,545,Side,Dimsum;Pork,BBQ Pork Bun
8,1515,Main,Bakedrice;Beef,BP Beef Bk Rice
4,1273,Main,Western;Chicken,BP Chicken Chop
25,1273,Main,Spaghetti;Chicken,BP Chicken Chop Spag
29,1273,Main,Western;Chicken,BP Chix Chop & Fries
49,1273,Main,Spaghetti;Chicken,BP Chix Spag
16,1515,Main,Spaghetti;Pork,Baked Pork Chop Cream Spag
118,667,Side,Dimsum;Pork,Beancurd Skin Prawn Roll
7,473,Dessert,Dessert;Cold,Beancurd w Mango
3,1151,Side,Vegetable;Seafood,Belacan 4 S.Bean
26,352,Side,Bread,Bo Lo Bun
20,594,Side,Soup;Beef,Borsch Soup
58,1188,Main,Noodlesoup;Beef,Braised Beef Brisket Soup Noodles
12,1200,Main,Noodle;Beef,Braised Beef brisket Noodles
29,1200,Main,Noodle;Chicken,CHICKEN CHOP EGG DRY NOODLE
2,836,Drink,Drink;Cold,COKE FLOAT
58,1636,Main,Noodle;Seafood,CRISPY PRAWN NOODLE
21,1394,Main,Rice;Beef,CURRY BEEF BRISKET HOT POT WITH RICE
234,1030,Main,Porridge;Pork,Cent Egg Pork Por
189,1442,Main,Spaghetti;Chicken,Chicken Chop Cream Spag
82,1394,Main,Noodle;Chicken,Chicken Dry Curry Ramen
30,594,Side,Dimsum;Chicken,Chicken Feet
103,1273,Main,Friedrice;Chicken,Chicken Flos Fried Rice
12,1273,Main,Friedrice;Chicken,Chicken Floss Egg Fried Rice
29,1273,Main,Friedrice;Chicken,Chicken Floss N Egg Fried Rice
37,1321,Main,Rice;Chicken,Chicken Hot Pot Rice
23,1394,Side,Dimsum;Chicken,Chicken In A Basket(3PCS)
16,2121,Side,Dimsum;Chicken,Chicken In A Basket(5PCS)
86,909,Main,Soup;Chicken,Chicken Macaroni Soup
107,1394,Main,Noodlesoup;Chicken,Chicken Papaya Soup Beehoon
13,715,Side,Fingerfood;Chicken,Chicken with Seaweed
61,206,Drink,Drink;Hot,Chinese Tea
62,1515,Main,Bakedrice;Chicken,Chix Chop Bk Rice
118,594,Side,Dimsum;Chicken,Chix Feet
3,594,Side,Fingerfood;Chicken,Chix Wing BP
36,594,Side,Fingerfood;Chicken,Chix Wing Honey Sweet Sauce
16,594,Side,Fingerfood;Chicken,Chix Wing Japanese Sesame Sauce
7,594,Side,Fingerfood;Chicken,Chix Wing Nachos Cheese
16,1442,Main,Spaghetti;Chicken,Chs Bk Pork Chop Spag
37,1200,Main,Noodle;Pork,Chye Poh N Floss Dry Noodles
5,352,Drink,Drink;Cold,Coke
21,73,Drink,Drink;Cold,Cold / Iced Water
36,594,Side,Bread;Sweet,Condensed & Peanut TT
105,473,Side,Dimsum;Chicken,Custard Bun
3,100000,Side,Fingerfood;Seafood,Deep Fried Prawn (3pcs)
13,1151,Side,Fingerfood;Seafood,Deep-fried Prawns with Mango sauce
16,1273,Main,Friedrice;Pork,Diced Pork Fried Rice
30,473,Side,Bread;Savoury,Egg & Ham Sandwich
37,1394,Main,Noodle;Chicken,F'mented Pork Dry Curry Ramen
7,594,Side,Fingerfood;Vegetarian,F.Fries Curry Mayo
16,788,Side,Bread;Savoury,F.Toast Chicken Floss
16,2364,Side,Bread;Sweet,F.Toast Ice Cream
16,1273,Main,Noodle;Pork,Fermented Pork Dry Noodle
74,1394,Main,Western;Fish,Fish & Chips
37,1394,Main,Bakedrice;Fish,Fish Bk Rice
33,1273,Main,Noodle;Fish,Fish Egg Sauteed HF
4,1273,Main,Spaghetti;Fish,Fish Fillet Spag
49,1394,Main,Noodlesoup;Fish,Fish Papaya Soup Beehoon
49,1273,Main,Rice;Fish,Fish Slice Muifan
90,1030,Main,Porridge;Fish,Fish Slice Por
102,594,Side,Bread;Sweet,French Toast
10,594,Drink,Drink;Cold,Fresh  Lime Juice
61,352,Drink,Drink;Hot,Fresh Soy Milk
12,1394,Main,Noodle;Pork,Fried Spare Ribs Bee Hoon
33,958,Dessert,Dessert;Cold,Fruit Jelly Pudding
36,594,Side,Fingerfood;Chicken,HAM BO LO BUN
20,715,Side,Fingerfood;Chicken,HONEY CHICKEN WING (5pcs)
74,944,Main,Noodlesoup;Pork,Ham & Egg Soup Ndl
207,836,Side,Bread;Pork,Ham Egg Toast N French Fries
181,594,Side,Dimsum;Seafood,Har Gao
30,352,Dessert,Dessert;Cold,Home-Made Cold Beancurd
30,1914,Dessert,Dessert;Cold,Homemade Cold Beancurd
266,424,Drink,Drink;Hot,Hot Coffee-Tea
12,473,Drink,Drink;Hot,Hot Honey Green Tea
58,473,Drink,Drink;Hot,Hot Honey with Lemon
5,836,Drink,Drink;Cold,ICED MILO FLOAT
82,545,Drink,Drink;Cold,Ice Milo Dinosaur
66,473,Drink,Drink;Cold,Iced Coffee-Tea
5,836,Drink,Drink;Cold,Iced Coffee-Tea Float
7,594,Drink,Drink;Cold,Iced Honey Green Tea
58,594,Drink,Drink;Cold,Iced Lemon Tea
59,667,Drink,Drink;Cold,Iced Lychee Tea
136,473,Drink,Drink;Cold,Iced Milk Tea
3,836,Drink,Drink;Cold,Iced Milk Tea Float
13,667,Drink,Drink;Cold,Iced Peach Tea
39,473,Drink,Drink;Cold,Iced Soy Milk
10,667,Drink,Drink;Cold,Iced Yuzu Tea
62,352,Side,Bread;Sweet,Kaya Butter Bread
92,424,Side,Bread;Savoury,Kaya Butter Bread + Kopi
127,206,Drink,Drink;Hot,Kopi
200,473,Side,Bread;Savoury,L.Meat'N'Egg S'wich
3,473,Drink,Drink;Hot,LEMON COKE
7,242,Side,Addons;Pork,LUNCHEON MEAT (2pcs)
3,594,Drink,Drink;Cold,Lime Juice
13,594,Side,Fingerfood;Pork,Luncheon Meat Fries
21,1273,Main,Spaghetti;Pork,Luncheon Mushrm Cream Spag
39,473,Side,Bread;Savoury,Luncheon N Egg Sandwich
86,1067,Main,Noodlesoup;Pork,LuncheonMeatSoup Ndl
10,715,Drink,Drink;Cold,Lychee Ice-blended
10,836,Dessert,Dessert;Cold,Mango Pomelo
145,424,Drink,Drink;Hot,Milk Tea
64,229,Drink,Drink;Hot,Milo
20,1151,Side,Vegetable;Seafood,Minced Kai Lan W Silver Fish
86,1394,Main,Baked Rice;Vegetarian,Mush Bk Rice
29,1200,Main,Spaghetti;Vegetarian,Mushroom Cream Spag
105,788,Side,Dimsum;Pork,Pan Fried Dumpling
7,1030,Side,Vegetable;Vegetarian,Paoched Lettuce
7,1430,Drink,Drink;Cold,Peach Ice-blended
20,594,Side,Bread;Sweet,Peanut Butter Milk Thick Toast
123,1394,Main,Noodle;Pork,Pork Chop Bee Hoon
45,1515,Main,Bakedrice;Pork,Pork Chop Bk Rice
4,1394,Main,Rice;Pork,Pork Chop Frag Rice
41,1394,Main,Noodle;Pork,Pork Chop Noodle
29,1030,Main,Porridge;Pork,Pork N Century Egg Congee
66,1394,Main,Noodle;Pork,Pork Ribs BH
29,1030,Main,Porridge;Pork,Pork n Century Egg Congee
16,836,Side,Fingerfood;Chicken,Prawn Paste Chicken
12,1067,Main,Rice;Chicken,Pumpkin Chix Chop Rice
13,594,Drink,Drink;Cold,RAINBOW SPRITE
194,594,Side,Dimsum;Pork,Radish Cake
7,909,Dessert,Dessert;Cold,Red Bean Snow
12,1757,Main,Spaghetti;Seafood,SCALLOP CREAM SAUCE SPAGHETTI
12,1394,Main,Rice;Pork,SH Pork Chop Rice
12,1515,Main,Noodle;Duck,SMOKED DUCK DRY CURRY RAMEN
15,594,Drink,Drink;Cold,SOUR PLUM COKE
3,667,Dessert,Dessert;Cold,SOY MILK WITH GLUTINOUS BALL
148,1273,Main,Noodle;Pork;Seafood,SPECIAL STIR FRIED BEE HOON
102,594,Side,Dimsum;Pork,SPRING ROLL
29,1273,Main,Friedrice;Seafood,Sambal Seafood Fried Rice
33,1151,Main,Porridge;Seafood,Sampan Congee
8,1321,Main,Noodle;Seafood,Seafood Ee Noodle
4,1273,Main,Noodle;Seafood,Seafood Egg Hor Fun
25,1273,Main,Rice;Seafood,Seafood Muifan
37,1273,Main,Noodle;Seafood,Seafood Sauteed HF
33,1030,Main,Soup;Seafood;Pork,Seafood and Slice Pork Macaroni Soup
13,667,Dessert,Dessert;Cold,Sesame Cream Glutinous Ball
315,545,Side,Dimsum;Seafood;Pork,Siew Mai
123,1394,Main,Noodle;Pork,Signature Fried Noodles
189,1394,Main,Friedrice;Pork;Seafood;Chicken,Signature Fried Rice
99,1200,Main,Porridge;Seafood,Sliced Empress Congee
8,1273,Main,Noodle;Fish,Sliced Fish Egg Hor Fun
76,352,Side,Bread,Soft Boiled Eggs
10,836,Side,Soup,Soup Of The Day
33,1030,Main,Porridge;Pork,Spicy Pork Por
20,242,Side,Fingerfood;Vegetarian,Spicy Sour Fries
7,352,Drink,Drink;Cold,Sprite
33,944,Main,Noodlesoup;Pork,Spy P.Dices Soup Ndl
53,594,Side,Dimsum;Pork,Steam Pork Spare Ribs
82,206,Drink,Drink;Hot,Teh
12,1030,Main,Noodle;Vegetarian,VEGETARIAN HOR FUN
16,1151,Main,Noodle;Vegetarian,VEGETARIAN RAMEN
3,182,Side,Addons;Vegetarian,WHITE RICE
20,715,Side,Soup;Pork;Seafood,Wanton Soup
70,1079,Main,Noodle;Pork;Seafood,Wanton Soup Noodle
48,73,Drink,Drink;Hot,Warm Water
12,715,Drink,Drink;Cold,Watermelon Ice
82,1394,Main,Rice;Chicken,Yao Ma Tei Chix Rice
30,388,Drink,Drink;Hot,Yuzu Tea
